1281,"Percutaneous transluminal angioplasty: Second cardiologist: Third or subsequent lesions (each), Diagnostic heart catheterization, Balloon dilation of pulmonary artery, Atrial septostomy",T,
1282,"Use of balloon procedures including: First cardiologist: Atrial septostomy; Pulmonary valve valvuloplasty; Aortic valve valvuloplasty; Coarctation dilation; Mitral valve valvuloplasty, Balloon Pump, Bougie",T,
1283,Use of balloon procedure as in item 1282: Second cardiologist,T,
1284,Atherectomy: Single lesion: First cardiologist,T,
1285,Atherectomy: Single lesion: Second cardiologist,T,
1286,Insertion of intravascular stent: First cardiologist,T,
1287,Insertion of intravascular stent: Second cardiologist,T,
1288,"Cardiac catheterisation for congenital heart disease: All ages above 1 year old, Aortogram",T,
1289,Paediatric cardiac catheterisation: Infants below the age of one year,T,
1290,"Use of balloon procedures including: First paediatric cardiologist (33): Atrial septostomy; Pulmonary valve valvuloplasty; Aortic valve valvuloplasty; Coarctation dilation; Mitral valve valvuloplasty; Closure atrial septal defect; Closure of patient ductus arteriosus, ASD Closure",T,
1291,Use of balloon procedure as in item 1290: Second paediatric cardiologist (33),T,
1294,"Patent ductus arteriosus, PDA closure",T,
1295,Pericardiectomy for constrictive pericarditis,T,
1297,"Coarctation of aorta, Pulmonary artery banding, PA, PV conduit, PA banding, Koarktasie",T,
1299,Systemo-pulmonary anastomosis,T,
1301,Mitral valvotomy: Closed heart technique,T,
1302,Heart transplant,T,
1303,Harvesting donor heart,T,
1305,"Operative implantation of cardiac pacemaker by thoracotomy, ECMO insertion or removal",T,
1307,"Re-exploration after cardiac surgery, Plication of the diaphragm",T,
1308,Heart and lung transplant,T,
1309,Harvesting donor heart and lungs,T,
1311,"Pericardial drainage, Pencardial window, Pencardial biopsy",T,
1312,Evaluation of coronary angiogram by cardiothoracic surgeon,,
1320,Repeat open heart surgery (additional fee above procedure fee),T,
1321,Stand-by fee for coronary angioplasty,T,
1322,"Attendance at other operations or monitoring at bedside, by physician e.g. heart block etc.: Per hour",,
1323,"Atrial septal defect: Osteum secundum, ASD closure",T,
1325,Atrial septal defect: Sinus venosus or osteum primum,T,
1327,"Atrial septal defect: Ventricular septal defect, VSD closure, AVSD, AV canal repair",T,
1329,Atrial septal defect: Fallot's tetralogy,T,
1330,"Atrial septal defect: Pulmonary stenosis, Central shunt",T,
1331,Transposition of large vessels (venous repair),T,
1332,Transposition of great arteries (arterial repair),T,
1333,Ebstein's Anomaly,T,
1334,Aorto-coronary bypass operation as a MidCab procedure (thoracotomy with coronary grafting without bypass or hypothermal),T,
1335,"Total anomalous venous drainage, TAPVD",T,
1336,Aorto-coronary bypass operation as a OpCab procedure (sternotomy with coronary grafting without bypass or hypothermia),T,
1337,Creation of atrial septal defect by thoracotomy with or without cardiac bypass,T,
1338,"Fontan type repair, Glenn shunt",T,
1339,"Mitral valve replacement, VR",T,
1340,Mitral valvuloplasty,T,
1341,Aortic valve replacement,T,
1342,Tricuspid annulo plasty,T,
1343,Double valve replacement,T,
1344,Acute dissecting aneurysm repair,T,
1345,"Aortic arch aneurysm repair utilising deep hypothermal and circulatory arrest, Yasrai procedure, Pulmonary Endarectomy, Descendens & DHSCA",T,
1346,Aorta-coronary bypass operation (including interpretation of angiogram): Harvesting of saphenous veins: Unilateral (modifier 0005 not applicable),,
1347,Aorta-coronary bypass operation (including interpretation of angiogram): Harvesting of saphenous veins: Bilateral (modifier 0005 not applicable),,
1348,"Aorta-coronary bypass operation (including interpretation of angiogram): Utilizing saphenous veins, CABG, Hart omleiding, AORTA coronary bypass, Cabbage (Add mod 0037 + 0038 + 0042)",T,
13480,Aorta-coronary bypass operation : Utilizing saphenous veins; list separately for each additional graft. (mod 0005 is not applicable),,
1349,Aorta-coronary bypass operation (including interpretation of angiogram): Additional arterial implant: Any artery,T,
13490,Aorta-coronary bypass operation : Additional arterial implant: Any artery; list separately for each additional graft. (mod 0005 is not aplicable),,
1350,Aorta-coronary bypass operation (including interpretation of angiogram): Additional double arterial implant: Any artery,T,
1351,Aorta-coronary bypass operation with valve replacement or excision of cardiac aneurysm,T,
1352,Cardiac aneurysm,T,
1353,Ascending/descending thoracic aortic aneurysm repair,T,
1354,Arrhythmia surgery,T,
1355,Cardiac tumour,T,
1356,"Insertion and removal of intra-aortic balloon pump (modifier 0005 not applicable), Sternal washout",T,
1357,Skin temperature test: Response to reflex heating,,
1358,Harvesting of radial artery,,
1359,Skin temperature test: Response to reflex cooling,,
1361,Cold sensitivity test,,
1363,Oscillometry test,,
1365,Sweating test,,
1366,Transcutaneous oximetry: Transcutaneous oximetry - single site,,
1367,Doppler blood tests,,
1369,Fistula or aneurysm (as for grafting of various arteries),,
1372,"Abdominal aorta and iliac artery: Unruptured, Aorta Aneur",T,
1373,"Abdominal aorta and iliac artery: Ruptured, Aorta Ruptuur",T,
1375,Grafting and/or thrombo-endarterectomy for thrombosis,T,
1376,"Aorta bi-femoral graft, including proximal and distal endarterectomy and preparation for anastomosis, Aorta Bifem",T,
1379,Prosthetic grafting and/or thrombo-endarterectomy,T,
1385,Prosthetic grafting,T,
1387,Grafting vein: Vein grafting proximal to knee joint,T,
1388,Grafting vein: Distal to knee joint,T,
1389,Grafting vein: Endarterectomy when not part of another specified procedure,T,
1390,"Grafting vein: Carotid endarterectomy, Karotis Endart",T,
1393,"Embolectomy: Peripheral embolectomy transfemoral, Embolektomie",T,
1395,Miscellaneous arterial procedures: Arterial suture: Trauma,T,
1396,"Suture major blood vessel - trauma (innominate, carotid, vertebral, subclavian, axillary, iliac, common femoral and popliteal arteries are included because of popliteal artery. The vertebral and popliteal arteries are included because of the relevant inaccessibility of the arteries and difficult surgical exposure, CREST, FEM Poplineal bypass, Hegting Bloediat",T,
1397,Profundoplasty,T,
1399,Distal tibial (ankle region),T,
1401,"Femoro-femoral, Fem-Fem",T,
1402,Carotid-subclavian,T,
1403,"Axillo-femoral: (Bifemoral + 50%), Axihho - Fem",T,
1407,"Ligation of saphenous vein, SSV",T,
1408,"Placement of Hickman catheter or similar, Feeding tube, Mic-Key procedure, Mickey, Permcath, Chest drain, Insert chemo port, Broviac",T,
1410,"Litigation of inferior vena cava: Abdominal, Varicose vein, Inferior vena cava, Bilateral varicose veins",T,
1412,Umbrella operation on inferior vena cava: Abdominal,T,
1413,"Combined procedure for varicose veins: Ligation of saphenous vein stripping, multiple ligation including of perforating veins as indicated: Unilateral, Spatare",T,
1415,"Combined procedure for varicose veins: Ligation of saphenous vein stripping, multiple ligation including of perforating veins as indicated: Bilateral, Spatare",T,
1417,Extensive sub-fascial ligation of perforating veins,T,
1419,"Lesser varicose vein procedures, Spatare",T,
1421,Compression sclerotherapy of varicose veins: Per injection to a maximum of nine (9) injections per leg (excluding cost of material),,
1425,Thrombectomy: Inferior vena cava (Trans-abdominal),T,
1427,Thrombectomy: IIlio-femoral,T,
1429,Porto-caval shunt,T,
1431,Cardiac rehabilitation: Phase II: Exercise rehabilitation: Per patient per 60 minute session with a maximum of 5 patients per group,,
1432,Cardiac rehabilitation: Phase III: Exercise rehabilitation: Per patient per 60 minute session with a maximum of 10 patients per group,,
1435,Splenectomy (in all cases),T,
1436,Splenorrhaphy,T,
1439,"Excision of lymph node for biopsy: Neck or axilla, BBR, Axillary abscess, Excision scalp cyst and neck lump, Cervical lymph node",T,
1441,"Excision of lymph node for biopsy: Groin, Limfnode (Scheme Exclusion)",T,
1443,Simple excision of lymph nodes for tuberculosis,,
1445,Radical excision of lymph nodes of neck: Total: Unilateral,,
1447,Radical excision of lymph nodes of neck: Total: Suprahyoid unilateral,,
1449,"Radical excision of lymph nodes of axilla, Drainage of abscess",T,
1450,Bone marrow transplantation: Cryopreservation of bone marrow or peripheral blood stem cells,,
1451,Radical excision of lymph nodes of groin: Ilio-inguinal,,
1453,Radical excision of lymph nodes of groin: Inguinal,,
1454,Bone marrow transplantation: Plasma/cell separation using designated cell separator equipment (per hour) (specify time used),,
1455,Bone marrow transplantation: Plasma/cell separation using designated cell separator equipment (per hour) (specify time used),,
1456,"Bone marrow transplantation: Preparation for extra-corporeal equipment by the medical practitioner for plasma, platelet and leucocyte phaeresis",,
1457,Bone marrow biopsy: By trephine,,
1458,Bone marrow biopsy: Simple aspiration of marrow by means of trocar or cannula,,
1459,Staging laparotomy for lymphoma (including splenectomy,,
1461,"All dental procedures, Ekstraksie, Wisdom teeth, Fissurectomy, Blood legging, Implants, Konserwerend, Tandheelkunde sedasie, Osteomyelitis, Sinuslig, Osteomyelitis in jaw",T,
1463,Surgical biopsy of tongue or palate: Under general anaesthetic,,
1465,Surgical biopsy of tongue or palate: Under local anaesthetic,,
1467,Drainage of intra-oral abscess,T,
1469,"Local excision of mucosal lesion of oral cavity, Frenulectomy, Labial frenum",T,
1471,"Resection of malignant lesion of buccal mucosa including radical neck dissection (Commando operation), but not including reconstructive plastic procedure, Buccal hematoma",,
1473,Complicated reconstruction following major ablative procedure for head and neck cancer,,
1475,Cleft palate: Repair primary deformity with or without pharyngoplasty,,
1477,Cleft palate: Secondary repair,,
1478,Velopharyngeal reconstruction with myoneuro-vascular transfer (dynamic repair),,
1479,Velopharyngeal reconstruction with or without pharyngeal flap (static repair),,
1480,Repair of oronasal fistula (large) e.g. distant flap,,
1481,Repair of oronasal fistula (small) e.g. trapdoor: One stage or first stage,,
1482,Repair of oronasal fistula (large): Second stage,,
1483,"Alveolar periosteal or other flaps for arch closure, Alveolectomy",T,
1484,Cleft lip repair: Lip adhesion (cleft lip),,
1485,Local excision of benign lesion of lip,,
1486,Closure of anterior nasal floor,,
1487,Resection for lip malignancy,,
1489,Cleft lip repair: Repair unilateral cleft lip (with muscle reconstruction),,
1490,Cleft lip repair: Bilateral cleft lip repair (with muscle reconstruction): One of two stages,,
1491,Cleft lip repair: Repair bilateral cleft lip (with muscle reconstruction): One stage,,
1492,Cleft lip repair: Bilateral cleft lip repair: Second stage,,
1493,Cleft lip repair: Total revision of secondary cleft lip deformities,,
1494,Cleft lip repair: Partial revision of secondary cleft lip deformity,,
1495,Abbe or Estlander type flap (all stages included),,
1497,Vermilionectomy,,
1499,Lip reconstruction following an injury: Direct repair,,
1501,Lip reconstruction following an injury or tumour removal: Flap repair,,
1503,Lip reconstruction following an injury or tumour removal: Total reconstruction (first stage),,
1504,Lip reconstruction following an injury or tumour removal: Subsequent stages (see item 0297),,
1505,Partial glossectomy,,
1507,Local excision of lesion of tongue,,
1509,Wide excision of lesion of palate,,
1511,Radical resection of palate (including skin graft),,
1513,Excision of ranula,T,
1515,Excision of sublingual salivary gland,,
1517,Excision of submandibular salivary gland,T,
1519,Excision of submandibular salivary gland with suprahyoid dissection,,
1521,Excision of submandibular salivary gland: With radical neck dissection,,
1523,Local resection of parotid tumour,,
1525,Partial parotidectomy,T,
1526,Total parotidectomy with preservation of facial nerve,,
1527,Total parotidectomy,,
1529,Parotidectomy: Extracapsular,,
1531,Drainage of parotid abscess,,
1533,Closure of salivary fistula,,
1535,Dilatation of salivary duct,,
1537,Operative removal of salivary calculus,,
1539,"Excision Salivary duct: Meatotomy, Marsupilation, Drainage ranuva",T,
1541,Branchial cyst and/or fistula: Excision,,
1543,Excision of cystic hygroma,,
1544,Ludwig's Angina: Drainage,,
1545,Oesophagoscopy with rigid instrument: First and subsequent,,
1549,Oesophagoscopy with dilatation of stricture,,
1550,Oesophagoscopy with removal of foreign body,T,
1551,"Oesophagoscopy with insertion of indwelling oesophageal tube, Removal of esophagus stent",,
1552,Injection and/or ligation of oesophageal varices (endoscopy inclusive),,
1553,Subsequent injection and/or ligation of oesophageal varices (endoscopy inclusive),,
1554,Per-oral small bowel biopsy,,
1555,"Repair of tracheal oesophageal fistula and oesophageal atresia, TOF",,
1557,Oesophageal dilatation,,
1559,Oesophagectomy: Two stage,,
1560,Oesophagectomy: Three stage,,
1561,Thoraco-abdominal oesophagogastrectomy,,
1563,"Hiatus hernia and diaphragmatic hernia repair: With anti-reflux procedure, Laparotomy oesophagogastoc fundiplication (Toupet, Watson), Anti Reflux",T,
